,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
0,5BZQJ0000-3221,00 00 20.39,-32 21 01.0
1,5BZQJ0001-1551,00 01 05.29,-15 51 06.98
2,5BZQJ0001+1914,00 01 08.62,+19 14 34.18
3,5BZBJ0001-0746,00 01 18.0,-07 46 26.68
4,5BZBJ0001-0011,00 01 21.48,-00 11 39.91
5,5BZGJ0001-1031,00 01 57.25,-10 31 17.29
6,5BZBJ0002-0024,00 02 57.16,-00 24 47.08
7,5BZQJ0003+2129,00 03 19.33,+21 29 44.59
8,5BZBJ0004-1148,00 04 04.87,-11 48 57.99
9,5BZQJ0004+4615,00 04 16.17,+46 15 18.21
10,5BZQJ0004-4736,00 04 35.64,-47 36 19.51
11,5BZQJ0004+2019,00 04 35.75,+20 19 42.59
12,5BZQJ0005-1648,00 05 17.93,-16 48 04.71
13,5BZQJ0005+0524,00 05 20.21,+05 24 10.9
14,5BZQJ0005+3820,00 05 57.18,+38 20 15.21
15,5BZBJ0006-0623,00 06 13.89,-06 23 35.19
16,5BZQJ0006-4245,00 06 19.73,-42 45 18.61
17,5BZGJ0006+1051,00 06 20.28,+10 51 51.69
18,5BZQJ0006+2422,00 06 48.78,+24 22 36.51
19,5BZQJ0007-6113,00 07 20.58,-61 13 06.31
20,5BZBJ0007+4712,00 07 59.97,+47 12 07.7
21,5BZQJ0008-2339,00 08 00.36,-23 39 17.89
22,5BZBJ0008-2339,00 08 35.38,-23 39 27.79
23,5BZQJ0008-4619,00 08 37.54,-46 19 40.8
24,5BZBJ0009+0628,00 09 03.91,+06 28 21.39
25,5BZQJ0009+0625,00 09 17.04,+06 25 54.69
26,5BZBJ0009+5030,00 09 22.77,+50 30 28.58
27,5BZQJ0010+2047,00 10 28.74,+20 47 50.09
28,5BZQJ0010+1058,00 10 31.0,+10 58 29.6
29,5BZQJ0010+1724,00 10 33.99,+17 24 19.0
30,5BZQJ0010-3027,00 10 35.71,-30 27 47.41
31,5BZQJ0010-2945,00 10 45.18,-29 45 13.21
32,5BZQJ0011-2612,00 11 01.21,-26 12 32.0
33,5BZQJ0011-3620,00 11 14.71,-36 20 39.4
34,5BZQJ0011+0057,00 11 30.4,+00 57 51.98
35,5BZGJ0012-1628,00 12 33.85,-16 28 07.28
36,5BZQJ0012+3353,00 12 47.35,+33 53 38.61
37,5BZBJ0012-3954,00 12 59.87,-39 54 25.81
38,5BZQJ0013-1513,00 13 20.7,-15 13 47.2
39,5BZQJ0013-0423,00 13 54.11,-04 23 52.11
40,5BZGJ0013-1854,00 13 56.03,-18 54 06.51
41,5BZBJ0013+1910,00 13 56.35,+19 10 41.98
42,5BZBJ0014-5022,00 14 11.43,-50 22 34.89
43,5BZGJ0014+0854,00 14 19.75,+08 54 01.4
44,5BZQJ0014-3059,00 14 37.95,-30 59 19.21
45,5BZBJ0014+5802,00 14 42.12,+58 02 01.21
46,5BZQJ0015-1812,00 15 02.47,-18 12 50.68
47,5BZBJ0015+3536,00 15 27.96,+35 36 39.59
48,5BZQJ0015+1700,00 15 39.97,+17 00 41.0
49,5BZQJ0016-0015,00 16 11.09,-00 15 12.38
50,5BZQJ0017+8135,00 17 08.45,+81 35 08.19
51,5BZQJ0017-0512,00 17 35.81,-05 12 41.61
52,5BZBJ0017+1451,00 17 36.89,+14 51 01.9
53,5BZQJ0017-2748,00 17 58.99,-27 48 21.09
54,5BZBJ0018+2947,00 18 27.78,+29 47 30.8
55,5BZBJ0019-8152,00 19 20.58,-81 52 51.31
56,5BZBJ0019+2021,00 19 37.84,+20 21 45.79
57,5BZQJ0019+2602,00 19 39.78,+26 02 52.4
58,5BZQJ0019-3031,00 19 42.67,-30 31 19.19
59,5BZQJ0019+7327,00 19 45.77,+73 27 30.31
60,5BZBJ0021-2550,00 21 32.53,-25 50 49.2
61,5BZBJ0021-0900,00 21 42.24,-09 00 44.31
62,5BZBJ0022-5140,00 22 00.07,-51 40 24.2
63,5BZGJ0022+0006,00 22 00.95,+00 06 57.99
64,5BZQJ0022+4525,00 22 06.61,+45 25 34.1
